Created by PLY version 3.4 (http://www.dabeaz.com/ply)

Grammar

Rule 0     S' -> Pgm
    MOD             reduce using rule 4 (empty -> .)
    SEMICOLON       reduce using rule 4 (empty -> .)
    DO              reduce using rule 4 (empty -> .)
    RPAREN          reduce using rule 4 (empty -> .)
    THEN            reduce using rule 4 (empty -> .)
    COMMA           reduce using rule 4 (empty -> .)
    RSQR            reduce using rule 4 (empty -> .)
    LSQR            shift and go to state 28

    Dimstar                        shift and go to state 201
    empty                          shift and go to state 30
    Dim                            shift and go to state 27

state 175

    (74) AE -> AE GT AE .
    (68) AE -> AE . TIMES AE
    (69) AE -> AE . SLASH AE
    (70) AE -> AE . PLUS AE
    (71) AE -> AE . MINUS AE
    (72) AE -> AE . LT AE
    (73) AE -> AE . EQ AE
    (74) AE -> AE . GT AE
    (75) AE -> AE . GTEQ AE
    (76) AE -> AE . LTEQ AE
    (77) AE -> AE . NEQ AE
    (78) AE -> AE . LAND AE
    (79) AE -> AE . LOR AE
    (80) AE -> AE . MOD AE

    RSQR            reduce using rule 74 (AE -> AE GT AE .)
    LT              reduce using rule 74 (AE -> AE GT AE .)
    EQ              reduce using rule 74 (AE -> AE GT AE .)
    GT              reduce using rule 74 (AE -> AE GT AE .)
    GTEQ            reduce using rule 74 (AE -> AE GT AE .)
    LTEQ            reduce using rule 74 (AE -> AE GT AE .)
    NEQ             reduce using rule 74 (AE -> AE GT AE .)
    LAND            reduce using rule 74 (AE -> AE GT AE .)
    LOR             reduce using rule 74 (AE -> AE GT AE .)
    SEMICOLON       reduce using rule 74 (AE -> AE GT AE .)
    DO              reduce using rule 74 (AE -> AE GT AE .)
    RPAREN          reduce using rule 74 (AE -> AE GT AE .)
    THEN            reduce using rule 74 (AE -> AE GT AE .)
    COMMA           reduce using rule 74 (AE -> AE GT AE .)
    TIMES           shift and go to state 140
    SLASH           shift and go to state 145
    PLUS            shift and go to state 144
    MINUS           shift and go to state 148
    MOD             shift and go to state 146

  ! TIMES           [ reduce using rule 74 (AE -> AE GT AE .) ]
  ! SLASH           [ reduce using rule 74 (AE -> AE GT AE .) ]
  ! PLUS            [ reduce using rule 74 (AE -> AE GT AE .) ]
  ! MINUS           [ reduce using rule 74 (AE -> AE GT AE .) ]
  ! MOD             [ reduce using rule 74 (AE -> AE GT AE .) ]
  ! LT              [ shift and go to state 142 ]
  ! EQ              [ shift and go to state 147 ]
  ! GT              [ shift and go to state 137 ]
  ! GTEQ            [ shift and go to state 138 ]
  ! LTEQ            [ shift and go to state 139 ]
  ! NEQ             [ shift and go to state 149 ]
  ! LAND            [ shift and go to state 143 ]
  ! LOR             [ shift and go to state 141 ]


state 176

    (75) AE -> AE GTEQ AE .
    (68) AE -> AE . TIMES AE
    (69) AE -> AE . SLASH AE
    (70) AE -> AE . PLUS AE
    (71) AE -> AE . MINUS AE
    (72) AE -> AE . LT AE
    (73) AE -> AE . EQ AE
    (74) AE -> AE . GT AE
    (75) AE -> AE . GTEQ AE
    (76) AE -> AE . LTEQ AE
    (77) AE -> AE . NEQ AE
    (78) AE -> AE . LAND AE
    (79) AE -> AE . LOR AE
    (80) AE -> AE . MOD AE

    RSQR            reduce using rule 75 (AE -> AE GTEQ AE .)
    LT              reduce using rule 75 (AE -> AE GTEQ AE .)
    EQ              reduce using rule 75 (AE -> AE GTEQ AE .)
    GT              reduce using rule 75 (AE -> AE GTEQ AE .)
    GTEQ            reduce using rule 75 (AE -> AE GTEQ AE .)
    LTEQ            reduce using rule 75 (AE -> AE GTEQ AE .)
    NEQ             reduce using rule 75 (AE -> AE GTEQ AE .)
    LAND            reduce using rule 75 (AE -> AE GTEQ AE .)
    LOR             reduce using rule 75 (AE -> AE GTEQ AE .)
    SEMICOLON       reduce using rule 75 (AE -> AE GTEQ AE .)
    DO              reduce using rule 75 (AE -> AE GTEQ AE .)
    RPAREN          reduce using rule 75 (AE -> AE GTEQ AE .)
    THEN            reduce using rule 75 (AE -> AE GTEQ AE .)
    COMMA           reduce using rule 75 (AE -> AE GTEQ AE .)
    TIMES           shift and go to state 140
    SLASH           shift and go to state 145
    PLUS            shift and go to state 144
    MINUS           shift and go to state 148
    MOD             shift and go to state 146

  ! TIMES           [ reduce using rule 75 (AE -> AE GTEQ AE .) ]
  ! SLASH           [ reduce using rule 75 (AE -> AE GTEQ AE .) ]
  ! PLUS            [ reduce using rule 75 (AE -> AE GTEQ AE .) ]
  ! MINUS           [ reduce using rule 75 (AE -> AE GTEQ AE .) ]
  ! MOD             [ reduce using rule 75 (AE -> AE GTEQ AE .) ]
  ! LT              [ shift and go to state 142 ]
  ! EQ              [ shift and go to state 147 ]
  ! GT              [ shift and go to state 137 ]
  ! GTEQ            [ shift and go to state 138 ]
  ! LTEQ            [ shift and go to state 139 ]
  ! NEQ             [ shift and go to state 149 ]
  ! LAND            [ shift and go to state 143 ]
  ! LOR             [ shift and go to state 141 ]


state 177

    (76) AE -> AE LTEQ AE .
    (68) AE -> AE . TIMES AE
    (69) AE -> AE . SLASH AE
    (70) AE -> AE . PLUS AE
    (71) AE -> AE . MINUS AE
    (72) AE -> AE . LT AE
    (73) AE -> AE . EQ AE
    (74) AE -> AE . GT AE
    (75) AE -> AE . GTEQ AE
    (76) AE -> AE . LTEQ AE
    (77) AE -> AE . NEQ AE
    (78) AE -> AE . LAND AE
    (79) AE -> AE . LOR AE
    (80) AE -> AE . MOD AE

    RSQR            reduce using rule 76 (AE -> AE LTEQ AE .)
    LT              reduce using rule 76 (AE -> AE LTEQ AE .)
    EQ              reduce using rule 76 (AE -> AE LTEQ AE .)
    GT              reduce using rule 76 (AE -> AE LTEQ AE .)
    GTEQ            reduce using rule 76 (AE -> AE LTEQ AE .)
    LTEQ            reduce using rule 76 (AE -> AE LTEQ AE .)
    NEQ             reduce using rule 76 (AE -> AE LTEQ AE .)
    LAND            reduce using rule 76 (AE -> AE LTEQ AE .)
    LOR             reduce using rule 76 (AE -> AE LTEQ AE .)
    SEMICOLON       reduce using rule 76 (AE -> AE LTEQ AE .)
    DO              reduce using rule 76 (AE -> AE LTEQ AE .)
    RPAREN          reduce using rule 76 (AE -> AE LTEQ AE .)
    THEN            reduce using rule 76 (AE -> AE LTEQ AE .)
    COMMA           reduce using rule 76 (AE -> AE LTEQ AE .)
    TIMES           shift and go to state 140
    SLASH           shift and go to state 145
    PLUS            shift and go to state 144
    MINUS           shift and go to state 148
    MOD             shift and go to state 146

  ! TIMES           [ reduce using rule 76 (AE -> AE LTEQ AE .) ]
  ! SLASH           [ reduce using rule 76 (AE -> AE LTEQ AE .) ]
  ! PLUS            [ reduce using rule 76 (AE -> AE LTEQ AE .) ]
  ! MINUS           [ reduce using rule 76 (AE -> AE LTEQ AE .) ]
  ! MOD             [ reduce using rule 76 (AE -> AE LTEQ AE .) ]
  ! LT              [ shift and go to state 142 ]
  ! EQ              [ shift and go to state 147 ]
  ! GT              [ shift and go to state 137 ]
  ! GTEQ            [ shift and go to state 138 ]
  ! LTEQ            [ shift and go to state 139 ]
  ! NEQ             [ shift and go to state 149 ]
  ! LAND            [ shift and go to state 143 ]
  ! LOR             [ shift and go to state 141 ]


state 178

    (68) AE -> AE TIMES AE .
    (68) AE -> AE . TIMES AE
    (69) AE -> AE . SLASH AE
    (70) AE -> AE . PLUS AE
    (71) AE -> AE . MINUS AE
    (72) AE -> AE . LT AE
    (73) AE -> AE . EQ AE
    (74) AE -> AE . GT AE
    (75) AE -> AE . GTEQ AE
    (76) AE -> AE . LTEQ AE
    (77) AE -> AE . NEQ AE
    (78) AE -> AE . LAND AE
    (79) AE -> AE . LOR AE
    (80) AE -> AE . MOD AE

    RSQR            reduce using rule 68 (AE -> AE TIMES AE .)
    TIMES           reduce using rule 68 (AE -> AE TIMES AE .)
    SLASH           reduce using rule 68 (AE -> AE TIMES AE .)
    PLUS            reduce using rule 68 (AE -> AE TIMES AE .)
    MINUS           reduce using rule 68 (AE -> AE TIMES AE .)
    LT              reduce using rule 68 (AE -> AE TIMES AE .)
    EQ              reduce using rule 68 (AE -> AE TIMES AE .)
    GT              reduce using rule 68 (AE -> AE TIMES AE .)
    GTEQ            reduce using rule 68 (AE -> AE TIMES AE .)
    LTEQ            reduce using rule 68 (AE -> AE TIMES AE .)
    NEQ             reduce using rule 68 (AE -> AE TIMES AE .)
    LAND            reduce using rule 68 (AE -> AE TIMES AE .)
    LOR             reduce using rule 68 (AE -> AE TIMES AE .)
    MOD             reduce using rule 68 (AE -> AE TIMES AE .)
    SEMICOLON       reduce using rule 68 (AE -> AE TIMES AE .)
    DO              reduce using rule 68 (AE -> AE TIMES AE .)
    RPAREN          reduce using rule 68 (AE -> AE TIMES AE .)
    THEN            reduce using rule 68 (AE -> AE TIMES AE .)
    COMMA           reduce using rule 68 (AE -> AE TIMES AE .)

  ! TIMES           [ shift and go to state 140 ]
  ! SLASH           [ shift and go to state 145 ]
  ! PLUS            [ shift and go to state 144 ]
  ! MINUS           [ shift and go to state 148 ]
  ! LT              [ shift and go to state 142 ]
  ! EQ              [ shift and go to state 147 ]
  ! GT              [ shift and go to state 137 ]
  ! GTEQ            [ shift and go to state 138 ]
  ! LTEQ            [ shift and go to state 139 ]
  ! NEQ             [ shift and go to state 149 ]
  ! LAND            [ shift and go to state 143 ]
  ! LOR             [ shift and go to state 141 ]
  ! MOD             [ shift and go to state 146 ]


state 179

    (79) AE -> AE LOR AE .
    (68) AE -> AE . TIMES AE
    (69) AE -> AE . SLASH AE
    (70) AE -> AE . PLUS AE
    (71) AE -> AE . MINUS AE
    (72) AE -> AE . LT AE
    (73) AE -> AE . EQ AE
    (74) AE -> AE . GT AE
    (75) AE -> AE . GTEQ AE
    (76) AE -> AE . LTEQ AE
    (77) AE -> AE . NEQ AE
    (78) AE -> AE . LAND AE
    (79) AE -> AE . LOR AE
    (80) AE -> AE . MOD AE

    RSQR            reduce using rule 79 (AE -> AE LOR AE .)
    LOR             reduce using rule 79 (AE -> AE LOR AE .)
    SEMICOLON       reduce using rule 79 (AE -> AE LOR AE .)
    DO              reduce using rule 79 (AE -> AE LOR AE .)
    RPAREN          reduce using rule 79 (AE -> AE LOR AE .)
    THEN            reduce using rule 79 (AE -> AE LOR AE .)
    COMMA           reduce using rule 79 (AE -> AE LOR AE .)
    TIMES           shift and go to state 140
    SLASH           shift and go to state 145
    PLUS            shift and go to state 144
    MINUS           shift and go to state 148
    LT              shift and go to state 142
    EQ              shift and go to state 147
    GT              shift and go to state 137
    GTEQ            shift and go to state 138
    LTEQ            shift and go to state 139
    NEQ             shift and go to state 149
    LAND            shift and go to state 143
    MOD             shift and go to state 146

  ! TIMES           [ reduce using rule 79 (AE -> AE LOR AE .) ]
  ! SLASH           [ reduce using rule 79 (AE -> AE LOR AE .) ]
  ! PLUS            [ reduce using rule 79 (AE -> AE LOR AE .) ]
  ! MINUS           [ reduce using rule 79 (AE -> AE LOR AE .) ]
  ! LT              [ reduce using rule 79 (AE -> AE LOR AE .) ]
  ! EQ              [ reduce using rule 79 (AE -> AE LOR AE .) ]
  ! GT              [ reduce using rule 79 (AE -> AE LOR AE .) ]
  ! GTEQ            [ reduce using rule 79 (AE -> AE LOR AE .) ]
  ! LTEQ            [ reduce using rule 79 (AE -> AE LOR AE .) ]
  ! NEQ             [ reduce using rule 79 (AE -> AE LOR AE .) ]
  ! LAND            [ reduce using rule 79 (AE -> AE LOR AE .) ]
  ! MOD             [ reduce using rule 79 (AE -> AE LOR AE .) ]
  ! LOR             [ shift and go to state 141 ]


state 180

    (72) AE -> AE LT AE .
    (68) AE -> AE . TIMES AE
    (69) AE -> AE . SLASH AE
    (70) AE -> AE . PLUS AE
    (71) AE -> AE . MINUS AE
    (72) AE -> AE . LT AE
    (73) AE -> AE . EQ AE
    (74) AE -> AE . GT AE
    (75) AE -> AE . GTEQ AE
    (76) AE -> AE . LTEQ AE
    (77) AE -> AE . NEQ AE
    (78) AE -> AE . LAND AE
    (79) AE -> AE . LOR AE
    (80) AE -> AE . MOD AE

    RSQR            reduce using rule 72 (AE -> AE LT AE .)
    LT              reduce using rule 72 (AE -> AE LT AE .)
    EQ              reduce using rule 72 (AE -> AE LT AE .)
    GT              reduce using rule 72 (AE -> AE LT AE .)
    GTEQ            reduce using rule 72 (AE -> AE LT AE .)
    LTEQ            reduce using rule 72 (AE -> AE LT AE .)
    NEQ             reduce using rule 72 (AE -> AE LT AE .)
    LAND            reduce using rule 72 (AE -> AE LT AE .)
    LOR             reduce using rule 72 (AE -> AE LT AE .)
    SEMICOLON       reduce using rule 72 (AE -> AE LT AE .)
    DO              reduce using rule 72 (AE -> AE LT AE .)
    RPAREN          reduce using rule 72 (AE -> AE LT AE .)
    THEN            reduce using rule 72 (AE -> AE LT AE .)
    COMMA           reduce using rule 72 (AE -> AE LT AE .)
    TIMES           shift and go to state 140
    SLASH           shift and go to state 145
    PLUS            shift and go to state 144
    MINUS           shift and go to state 148
    MOD             shift and go to state 146

  ! TIMES           [ reduce using rule 72 (AE -> AE LT AE .) ]
  ! SLASH           [ reduce using rule 72 (AE -> AE LT AE .) ]
  ! PLUS            [ reduce using rule 72 (AE -> AE LT AE .) ]
  ! MINUS           [ reduce using rule 72 (AE -> AE LT AE .) ]
  ! MOD             [ reduce using rule 72 (AE -> AE LT AE .) ]
  ! LT              [ shift and go to state 142 ]
  ! EQ              [ shift and go to state 147 ]
  ! GT              [ shift and go to state 137 ]
  ! GTEQ            [ shift and go to state 138 ]
  ! LTEQ            [ shift and go to state 139 ]
  ! NEQ             [ shift and go to state 149 ]
  ! LAND            [ shift and go to state 143 ]
  ! LOR             [ shift and go to state 141 ]


state 181

    (78) AE -> AE LAND AE .
    (68) AE -> AE . TIMES AE
    (69) AE -> AE . SLASH AE
    (70) AE -> AE . PLUS AE
    (71) AE -> AE . MINUS AE
    (72) AE -> AE . LT AE
    (73) AE -> AE . EQ AE
    (74) AE -> AE . GT AE
    (75) AE -> AE . GTEQ AE
    (76) AE -> AE . LTEQ AE
    (77) AE -> AE . NEQ AE
    (78) AE -> AE . LAND AE
    (79) AE -> AE . LOR AE
    (80) AE -> AE . MOD AE

    RSQR            reduce using rule 78 (AE -> AE LAND AE .)
    LAND            reduce using rule 78 (AE -> AE LAND AE .)
    LOR             reduce using rule 78 (AE -> AE LAND AE .)
    SEMICOLON       reduce using rule 78 (AE -> AE LAND AE .)
    DO              reduce using rule 78 (AE -> AE LAND AE .)
    RPAREN          reduce using rule 78 (AE -> AE LAND AE .)
    THEN            reduce using rule 78 (AE -> AE LAND AE .)
    COMMA           reduce using rule 78 (AE -> AE LAND AE .)
    TIMES           shift and go to state 140
    SLASH           shift and go to state 145
    PLUS            shift and go to state 144
    MINUS           shift and go to state 148
    LT              shift and go to state 142
    EQ              shift and go to state 147
    GT              shift and go to state 137
    GTEQ            shift and go to state 138
    LTEQ            shift and go to state 139
    NEQ             shift and go to state 149
    MOD             shift and go to state 146

  ! TIMES           [ reduce using rule 78 (AE -> AE LAND AE .) ]
  ! SLASH           [ reduce using rule 78 (AE -> AE LAND AE .) ]
  ! PLUS            [ reduce using rule 78 (AE -> AE LAND AE .) ]
  ! MINUS           [ reduce using rule 78 (AE -> AE LAND AE .) ]
  ! LT              [ reduce using rule 78 (AE -> AE LAND AE .) ]
  ! EQ              [ reduce using rule 78 (AE -> AE LAND AE .) ]
  ! GT              [ reduce using rule 78 (AE -> AE LAND AE .) ]
  ! GTEQ            [ reduce using rule 78 (AE -> AE LAND AE .) ]
  ! LTEQ            [ reduce using rule 78 (AE -> AE LAND AE .) ]
  ! NEQ             [ reduce using rule 78 (AE -> AE LAND AE .) ]
  ! MOD             [ reduce using rule 78 (AE -> AE LAND AE .) ]
  ! LAND            [ shift and go to state 143 ]
  ! LOR             [ shift and go to state 141 ]


state 182

    (70) AE -> AE PLUS AE .
    (68) AE -> AE . TIMES AE
    (69) AE -> AE . SLASH AE
    (70) AE -> AE . PLUS AE
    (71) AE -> AE . MINUS AE
    (72) AE -> AE . LT AE
    (73) AE -> AE . EQ AE
    (74) AE -> AE . GT AE
    (75) AE -> AE . GTEQ AE
    (76) AE -> AE . LTEQ AE
    (77) AE -> AE . NEQ AE
    (78) AE -> AE . LAND AE
    (79) AE -> AE . LOR AE
    (80) AE -> AE . MOD AE

    RSQR            reduce using rule 70 (AE -> AE PLUS AE .)
    PLUS            reduce using rule 70 (AE -> AE PLUS AE .)
    MINUS           reduce using rule 70 (AE -> AE PLUS AE .)
    LT              reduce using rule 70 (AE -> AE PLUS AE .)
    EQ              reduce using rule 70 (AE -> AE PLUS AE .)
    GT              reduce using rule 70 (AE -> AE PLUS AE .)
    GTEQ            reduce using rule 70 (AE -> AE PLUS AE .)
    LTEQ            reduce using rule 70 (AE -> AE PLUS AE .)
    NEQ             reduce using rule 70 (AE -> AE PLUS AE .)
    LAND            reduce using rule 70 (AE -> AE PLUS AE .)
    LOR             reduce using rule 70 (AE -> AE PLUS AE .)
    SEMICOLON       reduce using rule 70 (AE -> AE PLUS AE .)
    DO              reduce using rule 70 (AE -> AE PLUS AE .)
    RPAREN          reduce using rule 70 (AE -> AE PLUS AE .)
    THEN            reduce using rule 70 (AE -> AE PLUS AE .)
    COMMA           reduce using rule 70 (AE -> AE PLUS AE .)
    TIMES           shift and go to state 140
    SLASH           shift and go to state 145
    MOD             shift and go to state 146

  ! TIMES           [ reduce using rule 70 (AE -> AE PLUS AE .) ]
  ! SLASH           [ reduce using rule 70 (AE -> AE PLUS AE .) ]
  ! MOD             [ reduce using rule 70 (AE -> AE PLUS AE .) ]
  ! PLUS            [ shift and go to state 144 ]
  ! MINUS           [ shift and go to state 148 ]
  ! LT              [ shift and go to state 142 ]
  ! EQ              [ shift and go to state 147 ]
  ! GT              [ shift and go to state 137 ]
  ! GTEQ            [ shift and go to state 138 ]
  ! LTEQ            [ shift and go to state 139 ]
  ! NEQ             [ shift and go to state 149 ]
  ! LAND            [ shift and go to state 143 ]
  ! LOR             [ shift and go to state 141 ]


state 183

    (69) AE -> AE SLASH AE .
    (68) AE -> AE . TIMES AE
    (69) AE -> AE . SLASH AE
    (70) AE -> AE . PLUS AE
    (71) AE -> AE . MINUS AE
    (72) AE -> AE . LT AE
    (73) AE -> AE . EQ AE
    (74) AE -> AE . GT AE
    (75) AE -> AE . GTEQ AE
    (76) AE -> AE . LTEQ AE
    (77) AE -> AE . NEQ AE
    (78) AE -> AE . LAND AE
    (79) AE -> AE . LOR AE
    (80) AE -> AE . MOD AE

    RSQR            reduce using rule 69 (AE -> AE SLASH AE .)
    TIMES           reduce using rule 69 (AE -> AE SLASH AE .)
    SLASH           reduce using rule 69 (AE -> AE SLASH AE .)
    PLUS            reduce using rule 69 (AE -> AE SLASH AE .)
    MINUS           reduce using rule 69 (AE -> AE SLASH AE .)
    LT              reduce using rule 69 (AE -> AE SLASH AE .)
    EQ              reduce using rule 69 (AE -> AE SLASH AE .)
    GT              reduce using rule 69 (AE -> AE SLASH AE .)
    GTEQ            reduce using rule 69 (AE -> AE SLASH AE .)
    LTEQ            reduce using rule 69 (AE -> AE SLASH AE .)
    NEQ             reduce using rule 69 (AE -> AE SLASH AE .)
    LAND            reduce using rule 69 (AE -> AE SLASH AE .)
    LOR             reduce using rule 69 (AE -> AE SLASH AE .)
    MOD             reduce using rule 69 (AE -> AE SLASH AE .)
    SEMICOLON       reduce using rule 69 (AE -> AE SLASH AE .)
    DO              reduce using rule 69 (AE -> AE SLASH AE .)
    RPAREN          reduce using rule 69 (AE -> AE SLASH AE .)
    THEN            reduce using rule 69 (AE -> AE SLASH AE .)
    COMMA           reduce using rule 69 (AE -> AE SLASH AE .)

  ! TIMES           [ shift and go to state 140 ]
  ! SLASH           [ shift and go to state 145 ]
  ! PLUS            [ shift and go to state 144 ]
  ! MINUS           [ shift and go to state 148 ]
  ! LT              [ shift and go to state 142 ]
  ! EQ              [ shift and go to state 147 ]
  ! GT              [ shift and go to state 137 ]
  ! GTEQ            [ shift and go to state 138 ]
  ! LTEQ            [ shift and go to state 139 ]
  ! NEQ             [ shift and go to state 149 ]
  ! LAND            [ shift and go to state 143 ]
  ! LOR             [ shift and go to state 141 ]
  ! MOD             [ shift and go to state 146 ]


state 184

    (80) AE -> AE MOD AE .
    (68) AE -> AE . TIMES AE
    (69) AE -> AE . SLASH AE
    (70) AE -> AE . PLUS AE
    (71) AE -> AE . MINUS AE
    (72) AE -> AE . LT AE
    (73) AE -> AE . EQ AE
    (74) AE -> AE . GT AE
    (75) AE -> AE . GTEQ AE
    (76) AE -> AE . LTEQ AE
    (77) AE -> AE . NEQ AE
    (78) AE -> AE . LAND AE
    (79) AE -> AE . LOR AE
    (80) AE -> AE . MOD AE

    RSQR            reduce using rule 80 (AE -> AE MOD AE .)
    TIMES           reduce using rule 80 (AE -> AE MOD AE .)
    SLASH           reduce using rule 80 (AE -> AE MOD AE .)
    PLUS            reduce using rule 80 (AE -> AE MOD AE .)
    MINUS           reduce using rule 80 (AE -> AE MOD AE .)
    LT              reduce using rule 80 (AE -> AE MOD AE .)
    EQ              reduce using rule 80 (AE -> AE MOD AE .)
    GT              reduce using rule 80 (AE -> AE MOD AE .)
    GTEQ            reduce using rule 80 (AE -> AE MOD AE .)
    LTEQ            reduce using rule 80 (AE -> AE MOD AE .)
    NEQ             reduce using rule 80 (AE -> AE MOD AE .)
    LAND            reduce using rule 80 (AE -> AE MOD AE .)
    LOR             reduce using rule 80 (AE -> AE MOD AE .)
    MOD             reduce using rule 80 (AE -> AE MOD AE .)
    SEMICOLON       reduce using rule 80 (AE -> AE MOD AE .)
    DO              reduce using rule 80 (AE -> AE MOD AE .)
    RPAREN          reduce using rule 80 (AE -> AE MOD AE .)
    THEN            reduce using rule 80 (AE -> AE MOD AE .)
    COMMA           reduce using rule 80 (AE -> AE MOD AE .)

  ! TIMES           [ shift and go to state 140 ]
  ! SLASH           [ shift and go to state 145 ]
  ! PLUS            [ shift and go to state 144 ]
  ! MINUS           [ shift and go to state 148 ]
  ! LT              [ shift and go to state 142 ]
  ! EQ              [ shift and go to state 147 ]
  ! GT              [ shift and go to state 137 ]
  ! GTEQ            [ shift and go to state 138 ]
  ! LTEQ            [ shift and go to state 139 ]
  ! NEQ             [ shift and go to state 149 ]
  ! LAND            [ shift and go to state 143 ]
  ! LOR             [ shift and go to state 141 ]
  ! MOD             [ shift and go to state 146 ]


state 185

    (73) AE -> AE EQ AE .
    (68) AE -> AE . TIMES AE
    (69) AE -> AE . SLASH AE
    (70) AE -> AE . PLUS AE
    (71) AE -> AE . MINUS AE
    (72) AE -> AE . LT AE
    (73) AE -> AE . EQ AE
    (74) AE -> AE . GT AE
    (75) AE -> AE . GTEQ AE
    (76) AE -> AE . LTEQ AE
    (77) AE -> AE . NEQ AE
    (78) AE -> AE . LAND AE
    (79) AE -> AE . LOR AE
    (80) AE -> AE . MOD AE

    RSQR            reduce using rule 73 (AE -> AE EQ AE .)
    LT              reduce using rule 73 (AE -> AE EQ AE .)
    EQ              reduce using rule 73 (AE -> AE EQ AE .)
    GT              reduce using rule 73 (AE -> AE EQ AE .)
    GTEQ            reduce using rule 73 (AE -> AE EQ AE .)
    LTEQ            reduce using rule 73 (AE -> AE EQ AE .)
    NEQ             reduce using rule 73 (AE -> AE EQ AE .)
    LAND            reduce using rule 73 (AE -> AE EQ AE .)
    LOR             reduce using rule 73 (AE -> AE EQ AE .)
    SEMICOLON       reduce using rule 73 (AE -> AE EQ AE .)
    DO              reduce using rule 73 (AE -> AE EQ AE .)
    RPAREN          reduce using rule 73 (AE -> AE EQ AE .)
    THEN            reduce using rule 73 (AE -> AE EQ AE .)
    COMMA           reduce using rule 73 (AE -> AE EQ AE .)
    TIMES           shift and go to state 140
    SLASH           shift and go to state 145
    PLUS            shift and go to state 144
    MINUS           shift and go to state 148
    MOD             shift and go to state 146

  ! TIMES           [ reduce using rule 73 (AE -> AE EQ AE .) ]
  ! SLASH           [ reduce using rule 73 (AE -> AE EQ AE .) ]
  ! PLUS            [ reduce using rule 73 (AE -> AE EQ AE .) ]
  ! MINUS           [ reduce using rule 73 (AE -> AE EQ AE .) ]
  ! MOD             [ reduce using rule 73 (AE -> AE EQ AE .) ]
  ! LT              [ shift and go to state 142 ]
  ! EQ              [ shift and go to state 147 ]
  ! GT              [ shift and go to state 137 ]
  ! GTEQ            [ shift and go to state 138 ]
  ! LTEQ            [ shift and go to state 139 ]
  ! NEQ             [ shift and go to state 149 ]
  ! LAND            [ shift and go to state 143 ]
  ! LOR             [ shift and go to state 141 ]


state 186

    (71) AE -> AE MINUS AE .
    (68) AE -> AE . TIMES AE
    (69) AE -> AE . SLASH AE
    (70) AE -> AE . PLUS AE
    (71) AE -> AE . MINUS AE
    (72) AE -> AE . LT AE
    (73) AE -> AE . EQ AE
    (74) AE -> AE . GT AE
    (75) AE -> AE . GTEQ AE
    (76) AE -> AE . LTEQ AE
    (77) AE -> AE . NEQ AE
    (78) AE -> AE . LAND AE
    (79) AE -> AE . LOR AE
    (80) AE -> AE . MOD AE

    RSQR            reduce using rule 71 (AE -> AE MINUS AE .)
    PLUS            reduce using rule 71 (AE -> AE MINUS AE .)
    MINUS           reduce using rule 71 (AE -> AE MINUS AE .)
    LT              reduce using rule 71 (AE -> AE MINUS AE .)
    EQ              reduce using rule 71 (AE -> AE MINUS AE .)
    GT              reduce using rule 71 (AE -> AE MINUS AE .)
    GTEQ            reduce using rule 71 (AE -> AE MINUS AE .)
    LTEQ            reduce using rule 71 (AE -> AE MINUS AE .)
    NEQ             reduce using rule 71 (AE -> AE MINUS AE .)
    LAND            reduce using rule 71 (AE -> AE MINUS AE .)
    LOR             reduce using rule 71 (AE -> AE MINUS AE .)
    SEMICOLON       reduce using rule 71 (AE -> AE MINUS AE .)
    DO              reduce using rule 71 (AE -> AE MINUS AE .)
    RPAREN          reduce using rule 71 (AE -> AE MINUS AE .)
    THEN            reduce using rule 71 (AE -> AE MINUS AE .)
    COMMA           reduce using rule 71 (AE -> AE MINUS AE .)
    TIMES           shift and go to state 140
    SLASH           shift and go to state 145
    MOD             shift and go to state 146

  ! TIMES           [ reduce using rule 71 (AE -> AE MINUS AE .) ]
  ! SLASH           [ reduce using rule 71 (AE -> AE MINUS AE .) ]
  ! MOD             [ reduce using rule 71 (AE -> AE MINUS AE .) ]
  ! PLUS            [ shift and go to state 144 ]
  ! MINUS           [ shift and go to state 148 ]
  ! LT              [ shift and go to state 142 ]
  ! EQ              [ shift and go to state 147 ]
  ! GT              [ shift and go to state 137 ]
  ! GTEQ            [ shift and go to state 138 ]
  ! LTEQ            [ shift and go to state 139 ]
  ! NEQ             [ shift and go to state 149 ]
  ! LAND            [ shift and go to state 143 ]
  ! LOR             [ shift and go to state 141 ]


state 187

    (77) AE -> AE NEQ AE .
    (68) AE -> AE . TIMES AE
    (69) AE -> AE . SLASH AE
    (70) AE -> AE . PLUS AE
    (71) AE -> AE . MINUS AE
    (72) AE -> AE . LT AE
    (73) AE -> AE . EQ AE
    (74) AE -> AE . GT AE
    (75) AE -> AE . GTEQ AE
    (76) AE -> AE . LTEQ AE
    (77) AE -> AE . NEQ AE
    (78) AE -> AE . LAND AE
    (79) AE -> AE . LOR AE
    (80) AE -> AE . MOD AE

    RSQR            reduce using rule 77 (AE -> AE NEQ AE .)
    LT              reduce using rule 77 (AE -> AE NEQ AE .)
    EQ              reduce using rule 77 (AE -> AE NEQ AE .)
    GT              reduce using rule 77 (AE -> AE NEQ AE .)
    GTEQ            reduce using rule 77 (AE -> AE NEQ AE .)
    LTEQ            reduce using rule 77 (AE -> AE NEQ AE .)
    NEQ             reduce using rule 77 (AE -> AE NEQ AE .)
